,2020-02-01-2021-01-31,2021-02-01-2022-01-31
RevenueFromContractWithCustomerExcludingAssessedTax,21252000000,26492000000
CostOfGoodsAndServicesSold,5438000000,7026000000
GrossProfit,15814000000,19466000000
ResearchAndDevelopmentExpense,3598000000,4465000000
SellingAndMarketingExpense,9674000000,11855000000
GeneralAndAdministrativeExpense,2087000000,2598000000
FairValueAdjustmentLossOnRemainingPerformanceObligationsOfAgreements,0,0
OperatingExpenses,15359000000,18918000000
OperatingIncomeLoss,455000000,548000000
GainLossOnInvestments,2170000000,1211000000
OtherNonoperatingExpense,64000000,227000000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,2561000000,1532000000
IncomeTaxExpenseBenefit,-1511000000,88000000
NetIncomeLoss,4072000000,1444000000
EarningsPerShareBasic,4.48,1.51
EarningsPerShareDiluted,4.38,1.48
WeightedAverageNumberOfSharesOutstandingBasic,908000000,955000000
WeightedAverageNumberOfDilutedSharesOutstanding,930000000,974000000
