,2021-01-01-2021-12-31,2022-01-01-2022-12-31
RevenueFromContractWithCustomerIncludingAssessedTax,82223000000,80669000000
ExciseAndSalesTaxes,50818000000,48907000000
RevenueFromContractWithCustomerExcludingAssessedTax,31405000000,31762000000
CostOfGoodsAndServicesSold,10030000000,11402000000
GrossProfit,21375000000,20360000000
MarketingAdministrationAndResearchCosts,8400000000,8114000000
OperatingIncomeLoss,12975000000,12246000000
InterestIncomeExpenseNet,-628000000,-588000000
NetPeriodicDefinedBenefitsExpenseReversalOfExpenseExcludingServiceCostComponent,115000000,24000000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,12232000000,11634000000
IncomeTaxExpenseBenefit,2671000000,2244000000
IncomeLossFromEquityMethodInvestmentsAndEquitySecuritiesFVNI,149000000,137000000
ProfitLoss,9710000000,9527000000
NetIncomeLossAttributableToNoncontrollingInterest,601000000,479000000
NetIncomeLoss,9109000000,9048000000
EarningsPerShareBasic,5.83,5.82
EarningsPerShareDiluted,5.83,5.81
