,2021-01-01-2021-12-31,2022-01-01-2022-12-31
RevenueFromContractWithCustomerExcludingAssessedTax,2424300000,2695823000
CostOfGoodsAndServiceExcludingDepreciationDepletionAndAmortization,1162617000,1308399000
SellingGeneralAndAdministrativeExpense,727489000,802710000
CostDepreciationAmortizationAndDepletion,86558000,91326000
CostsAndExpenses,1976664000,2202435000
OperatingIncomeLoss,447636000,493388000
InterestIncomeExpenseNet,-830000,-2638000
OtherNonoperatingIncomeExpense,35679000,8167000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,482485000,498917000
IncomeTaxExpenseBenefit,125920000,130318000
NetIncomeLoss,356565000,368599000
EarningsPerShareBasic,0.72,0.75
EarningsPerShareDiluted,0.72,0.75
WeightedAverageNumberOfSharesOutstandingBasic,492054000,492300000
WeightedAverageNumberOfDilutedSharesOutstanding,492054000,492413000
CommonStockDividendsPerShareCashPaid,0.42,0.43
