,2020-04-01-2021-03-31,2021-04-01-2022-03-31
Revenues,5629000000,6991000000
CostOfRevenue,1494000000,1859000000
GrossProfit,4135000000,5132000000
ResearchAndDevelopmentExpenseSoftwareExcludingAcquiredInProcessCost,1778000000,2186000000
SellingAndMarketingExpense,689000000,961000000
GeneralAndAdministrativeExpense,592000000,673000000
BusinessCombinationContingentConsiderationArrangementsChangeInAmountOfContingentConsiderationLiability1,0,0
AmortizationOfIntangibleAssets,30000000,183000000
OperatingExpenses,3089000000,4003000000
OperatingIncomeLoss,1046000000,1129000000
OtherNonoperatingIncomeExpense,-29000000,-48000000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,1017000000,1081000000
IncomeTaxExpenseBenefit,180000000,292000000
NetIncomeLoss,837000000,789000000
EarningsPerShareBasic,2.90,2.78
EarningsPerShareDiluted,2.87,2.76
WeightedAverageNumberOfSharesOutstandingBasic,289000000,284000000
WeightedAverageNumberOfDilutedSharesOutstanding,292000000,286000000
