,2020-04-25-2021-04-30,2021-05-01-2022-04-29
RevenueFromContractWithCustomerExcludingAssessedTax,5744000000,6318000000
CostOfGoodsAndServicesSold,1929000000,2098000000
SellingAndMarketingExpense,1744000000,1857000000
EarningsPerShareBasic,3.29,4.20
WeightedAverageNumberOfSharesOutstandingBasic,222000000,223000000
ResearchAndDevelopmentExpense,881000000,881000000
EarningsPerShareDiluted,3.23,4.09
WeightedAverageNumberOfDilutedSharesOutstanding,226000000,229000000
GrossProfit,3815000000,4220000000
GeneralAndAdministrativeExpense,257000000,279000000
RestructuringCharges,42000000,33000000
BusinessCombinationAcquisitionRelatedCosts,16000000,13000000
OperatingIncomeLoss,1031000000,1157000000
GainOnSaleOrDerecognitionOfAssetsIncludingSaleLeasebackGainRecognized,156000000,0
NonoperatingIncomeExpense,-69000000,-62000000
OperatingExpenses,2784000000,3063000000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,962000000,1095000000
IncomeTaxExpenseBenefit,232000000,158000000
NetIncomeLoss,730000000,937000000
